id,state,diet_need,meal_type,meal_name,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise_recommendation,medical_warning
1,Karnataka,Weight Loss,Breakfast,Akki Roti (Zero Oil) + Tomato Chutney,300.0,8.0,55,5,5,Medium,Medium,Low,Safe,"Rice Flour, Dill Leaves, Tomato",Vegetarian,,Pat the dough on banana leaf and roast without oil.,30 mins brisk walking,Chew thoroughly
2,Karnataka,Weight Loss,Breakfast,Avalakki (Poha) Uppittu,280.0,6.0,50,6,6,Medium,Medium,Low,"Peanut, Peanuts","Flattened Rice, Onion, Peanuts",Vegetarian,,Use minimal oil for tadka and add extra vegetables for volume.,30 mins brisk walking,Monitor portion size
3,Karnataka,Weight Loss,Breakfast,Cucumber Raita + 1 Phulka,220.0,8.0,33,4,4,Low,Medium,Low,"Dairy, Gluten","Wheat, Cucumber, Curd, Jeera",Vegetarian,,Make thin phulka without ghee. Prepare low-fat curd raita.,30 mins yoga,Low calorie option
4,Karnataka,Weight Loss,Breakfast,Hesaru Bele (Moong Dal) Kosambari,200.0,12.0,30,3,8,Low,Medium,Low,Safe,"Moong Dal, Cucumber, Lemon",Vegetarian,,Soak dal and mix with raw cucumber. Zero oil tempering.,30 mins brisk walking,Avoid if prone to bloating
5,Karnataka,Weight Loss,Breakfast,Mixed Vegetable Dalia Upma,270.0,9.0,45,4,7,Low,Medium,Low,Gluten,"Broken Wheat, Mixed Vegetables, Onion",Vegetarian,,Cook dalia with excess vegetables. Use minimal oil and salt.,30 mins brisk walking,Avoid if wheat sensitive
6,Karnataka,Weight Loss,Breakfast,Mysore Masala Dosa (No Oil),220.0,8.0,34,7,6,High,Low,Medium,Dairy,"rice, urad dal, potato, onion, red chilli, ghee",Vegetarian,,Cook with minimal oil and keep the portion controlled. Pair it with a light side and avoid extra ghee. It works best as a light breakfast with tea or chutney.,30–45 mins brisk walking,Keep portions small and avoid extra chutney or ghee. Contains dairy.
7,Karnataka,Weight Loss,Breakfast,Neer Dosa + Pudina Chutney,300.0,10.0,50,6,8,Medium,Medium,Low,Safe,"Rice, Coconut, Mint",Vegetarian,,Grind rice without fermentation use minimal coconut in chutney to reduce fat.,30 mins brisk walking,Monitor energy levels do not starve
8,Karnataka,Weight Loss,Breakfast,Oats Upma with Vegetables,260.0,9.0,42,5,7,Low,Medium,Low,Gluten,"Oats, Carrot, Peas, Onion",Vegetarian,,Roast oats lightly and cook with minimal oil and mixed vegetables.,30 mins brisk walking,Avoid added sugar
9,Karnataka,Weight Loss,Breakfast,Pesarattu (Moong Dal Dosa) + Ginger Chutney,260.0,14.0,38,4,8,Low,Medium,Low,Safe,"Green Moong Dal, Ginger, Green Chilli",Vegetarian,,"Grind soaked moong dal, spread thin on tawa with minimal oil.",30 mins brisk walking,Eat in moderation
10,Karnataka,Weight Loss,Breakfast,Ragi Ganji (Unsweetened),250.0,8.0,45,4,10,Low,Medium,Low,Dairy,"Finger Millet, Buttermilk, Jeera",Vegetarian,,Cook ragi flour in water and mix with buttermilk instead of milk.,30 mins brisk walking,Stay hydrated
